model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,gpu,1,65.28205879399957,,93210.90836306936,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,85,6000,151668,1,0.032,54797,63,0,0,0
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,cpu,1,67.840738289,,89695.36820307052,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,85,6000,151668,1,0.032,56184,58,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,gpu,1,63.26693037699988,,96179.7887733802,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,85,6000,151668,1,0.032,53570,51,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,cpu,1,72.37532210999962,,84075.6189071147,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,100,85,6000,151668,1,0.032,57147,61,0,0,0
facebook/opt-125m,opt-125m_medium_shared_lru,medium,shared_prefix,lru,gpu,1,62.856199752000066,,96808.27068783103,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,85,6000,151668,1,0.032,53971,50,0,0,0
facebook/opt-125m,opt-125m_medium_shared_lru,medium,shared_prefix,lru,cpu,1,66.44644436599992,,91577.51115293149,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,85,6000,151668,1,0.032,53813,44,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,gpu,1,65.84561531100007,,92413.13899580871,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,85,6000,151668,1,0.032,55163,58,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,cpu,1,68.20510025400017,,89216.20197520521,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,200,85,6000,151668,1,0.032,53794,69,0,0,0
facebook/opt-125m,opt-125m_large_shared_lru,large,shared_prefix,lru,gpu,1,64.88969202099997,,93774.52428084784,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,85,6000,151668,1,0.032,54566,51,0,0,0
facebook/opt-125m,opt-125m_large_shared_lru,large,shared_prefix,lru,cpu,1,64.58906886099976,,94210.98813322964,4.700176384,99.949805568,90.729545728,99.949805568,0.032,89.457426432,300,85,6000,151668,1,0.032,53612,57,0,0,0
